,Компания,Категория,Название товара,Цена,Скидочная Цена,Объем,Единицы Измерения
0,АЛТАЙСТРОЙДЕТАЛЬ,Газы и газовые смеси,"КИСЛОРОД газообразный технический ГОСТ 5583-78, 1сорт",850.0,799.0,40.0,литр
1,АЛТАЙСТРОЙДЕТАЛЬ,Газы и газовые смеси,Кислород газообразный медицинский ФСП ЛП-001553,1200.0,1140.0,10.0,литр
2,АЛТАЙСТРОЙДЕТАЛЬ,Газы и газовые смеси,"Кислород особой чистоты 99,99%",3200.0,3072.0,40.0,литр
3,АЛТАЙСТРОЙДЕТАЛЬ,Газы и газовые смеси,Азот / Двуокись углерода,2200.0,2090.0,20.0,литр
4,АЛТАЙСТРОЙДЕТАЛЬ,Газы и газовые смеси,Кислород жидкий технический ГОСТ 6331-78,4500.0,4365.0,50.0,литр
5,АЛТАЙСТРОЙДЕТАЛЬ,Газы и газовые смеси,Кислород жидкий медицинский ФСП ЛП-001553,5200.0,4732.0,30.0,литр
6,АЛТАЙСТРОЙДЕТАЛЬ,Газы и газовые смеси,"Двуокись углерода ГОСТ 8050-85, высший сорт",980.0,941.0,25.0,литр
7,АЛТАЙСТРОЙДЕТАЛЬ,Газы и газовые смеси,Жидкий азот,1500.0,1365.0,35.0,литр
8,АЛТАЙСТРОЙДЕТАЛЬ,Газы и газовые смеси,"Азот газообразный особой чистоты (99,999%)",2800.0,2716.0,40.0,литр
9,АЛТАЙСТРОЙДЕТАЛЬ,Газы и газовые смеси,Азот газообразный технический ГОСТ 9293-74,950.0,893.0,40.0,литр
10,АЛТАЙСТРОЙДЕТАЛЬ,Газы и газовые смеси,"Аргон газообразный особо чистый (99,999%)",3500.0,3150.0,40.0,литр
11,АЛТАЙСТРОЙДЕТАЛЬ,Газы и газовые смеси,Азот жидкий технический ГОСТ 9293-74,1800.0,1692.0,50.0,литр
12,АЛТАЙСТРОЙДЕТАЛЬ,Газы и газовые смеси,Пропан-бутановая смесь,650.0,611.0,27.0,литр
13,АЛТАЙСТРОЙДЕТАЛЬ,Газы и газовые смеси,"Аргон газообразный ГОСТ 10157-2016, высший сорт (>99,993%)",1400.0,1316.0,40.0,литр
14,АЛТАЙСТРОЙДЕТАЛЬ,Газы и газовые смеси,Аргон жидкий ГОСТ 10157-2016,4800.0,4464.0,50.0,литр
15,АЛТАЙСТРОЙДЕТАЛЬ,Газы и газовые смеси,Ацетилен марки Б,2100.0,1995.0,40.0,литр
16,АЛТАЙСТРОЙДЕТАЛЬ,Газы и газовые смеси,"Гелий марки А (99,995%) ТУ 0271-135-31323949-2005",19000.0,17480.0,40.0,литр
17,АЛТАЙСТРОЙДЕТАЛЬ,Газы и газовые смеси,"Гелий марки Б (99,99%) ТУ 0271-135-31323949-2005",12500.0,11875.0,40.0,литр
18,АЛТАЙСТРОЙДЕТАЛЬ,Газы и газовые смеси,Газовые смеси сварочные,1350.0,1242.0,40.0,литр
19,АЛТАЙСТРОЙДЕТАЛЬ,Газы и газовые смеси,Сухой лед,3600.0,3276.0,20.0,кг
20,КЕСТО,Промышленные технологии,Kesto Masa Pro,2850.0,2650.0,0.6,литр
21,КЕСТО,Промышленные технологии,AKVAPUR SM 3000,12365.0,11500.0,15.0,кг
22,КЕСТО,Промышленные технологии,Kestopur 1C 10H,89000.0,82000.0,1000.0,кг
23,КЕСТО,Промышленные технологии,Sitol 2189-R,1850.0,1720.0,15.0,кг
24,КЕСТО,Промышленные технологии,Sitol 5012/43,2100.0,1950.0,15.0,кг
25,КЕСТО,Промышленные технологии,Sitol 2085-R,1750.0,1620.0,15.0,кг
26,КЕСТО,Промышленные технологии,Sitol 1100 R,1950.0,1800.0,15.0,кг
27,КЕСТО,Промышленные технологии,Sitol 2390-R,2200.0,2050.0,15.0,кг
28,КЕСТО,Промышленные технологии,Sitol 2185-R,1900.0,1750.0,15.0,кг
29,КЕСТО,Промышленные технологии,Sitol 7000-R,2400.0,2250.0,15.0,кг
30,КЕСТО,Промышленные технологии,Kestomer VPH-R,1650.0,1520.0,15.0,кг
