Компания,Модальная категория,Кол-во товаров модальной категории,Медианный % скидки,Кол-во товара: Газы и газовые смеси,Кол-во товара: Герметики,Кол-во товара: Клеи и строительные смеси,Кол-во товара: Косметика,Кол-во товара: Промышленные технологии,Кол-во товара: Сварочные материалы и оборудование,Медианный % скидки: Газы и газовые смеси,Медианный % скидки: Герметики,Медианный % скидки: Клеи и строительные смеси,Медианный % скидки: Косметика,Медианный % скидки: Промышленные технологии,Медианный % скидки: Сварочные материалы и оборудование
-SUPERNOVA,Косметика,2,17.505000000000003,0,0,0,2,0,0,,,,17.505000000000003,,
911,Косметика,1,9.93,0,0,0,1,0,0,,,,9.93,,
A'pich,Косметика,1,16.05,0,0,0,1,0,0,,,,16.05,,
ABAZZILLA,Газы и газовые смеси,2,2.005,2,0,0,0,0,0,2.005,,,,,
ALNOVA,Косметика,1,15.97,0,0,0,1,0,0,,,,15.97,,
AMATO Capelli Professionale,Косметика,1,18.96,0,0,0,1,0,0,,,,18.96,,
ARAVIA,Косметика,2,10.01,0,0,0,2,0,0,,,,10.01,,
ARAVIA Laboratories,Косметика,2,15.54,0,0,0,2,0,0,,,,15.54,,
ARAVIA professional,Косметика,3,13.94,0,0,0,3,0,0,,,,13.94,,
ARNOcosmetics,Косметика,1,20.0,0,0,0,1,0,0,,,,20.0,,
ART&FACT.,Косметика,1,19.0,0,0,0,1,0,0,,,,19.0,,
AYA,Косметика,1,9.0,0,0,0,1,0,0,,,,9.0,,
Aceccse Composite,Газы и газовые смеси,6,2.005,6,0,0,0,0,0,2.005,,,,,
AiVi Shop,Косметика,1,16.99,0,0,0,1,0,0,,,,16.99,,
Aliver,Косметика,1,21.0,0,0,0,1,0,0,,,,21.0,,
BUZDYGA,Косметика,1,12.01,0,0,0,1,0,0,,,,12.01,,
BioEssence,Косметика,1,23.02,0,0,0,1,0,0,,,,23.02,,
BioHerb,Косметика,3,7.0,0,0,0,3,0,0,,,,7.0,,
BlackWeld,Газы и газовые смеси,6,2.005,6,0,0,0,0,0,2.005,,,,,
CNI,Косметика,1,20.0,0,0,0,1,0,0,,,,20.0,,
COMPOSITE RSV,Газы и газовые смеси,1,2.01,1,0,0,0,0,0,2.01,,,,,
ComForte,Косметика,1,15.96,0,0,0,1,0,0,,,,15.96,,
Compliment,Косметика,25,15.02,0,0,0,25,0,0,,,,15.02,,
Cosmokey,Косметика,4,20.0,0,0,0,4,0,0,,,,20.0,,
DNC,Косметика,6,16.095,0,0,0,6,0,0,,,,16.095,,
DR.SKINVITA,Косметика,1,21.0,0,0,0,1,0,0,,,,21.0,,
DSD DE LUXE,Косметика,1,10.0,0,0,0,1,0,0,,,,10.0,,
DZINTARS,Косметика,1,9.0,0,0,0,1,0,0,,,,9.0,,
Dikson,Косметика,1,23.0,0,0,0,1,0,0,,,,23.0,,
Disaar,Косметика,3,10.0,0,0,0,3,0,0,,,,10.0,,
Dr. Sea,Косметика,1,10.0,0,0,0,1,0,0,,,,10.0,,
ECOCLARme,Косметика,1,9.97,0,0,0,1,0,0,,,,9.97,,
EDEN,Косметика,2,21.46,0,0,0,2,0,0,,,,21.46,,
EPSOM.PRO,Косметика,1,7.97,0,0,0,1,0,0,,,,7.97,,
Ecolatier,Косметика,1,5.01,0,0,0,1,0,0,,,,5.01,,
Eo Laboratorie,Косметика,2,13.975,0,0,0,2,0,0,,,,13.975,,
FAYA wellness cosmetics,Косметика,1,7.99,0,0,0,1,0,0,,,,7.99,,
FOREST FLOWERS,Косметика,1,4.99,0,0,0,1,0,0,,,,4.99,,
Family Cosmetics,Косметика,1,25.12,0,0,0,1,0,0,,,,25.12,,
Floresan,Косметика,1,6.05,0,0,0,1,0,0,,,,6.05,,
Fusion Mesotherapy,Косметика,1,5.0,0,0,0,1,0,0,,,,5.0,,
GIGANT,Сварочные материалы и оборудование,3,2.0,1,0,0,0,0,3,2.01,,,,,2.0
Green Wealth,Косметика,1,16.0,0,0,0,1,0,0,,,,16.0,,
HEXAGON,Газы и газовые смеси,3,2.0,3,0,0,0,0,0,2.0,,,,,
HOLLY POLLY,Косметика,1,15.02,0,0,0,1,0,0,,,,15.02,,
HPC Research,Газы и газовые смеси,33,2.0,33,0,0,0,0,0,2.0,,,,,
Hemani,Косметика,1,5.99,0,0,0,1,0,0,,,,5.99,,
Hexagon Ragasco,Газы и газовые смеси,6,2.0,6,0,0,0,0,0,2.0,,,,,
ISKARTES Professional,Косметика,1,13.05,0,0,0,1,0,0,,,,13.05,,
ISSANCE Laboratory,Косметика,1,8.0,0,0,0,1,0,0,,,,8.0,,
Institute ESTELARE Korea,Косметика,1,10.01,0,0,0,1,0,0,,,,10.01,,
KAMALI,Косметика,1,10.0,0,0,0,1,0,0,,,,10.0,,
KIKUCOSMETIC,Косметика,1,6.97,0,0,0,1,0,0,,,,6.97,,
KLEONA,Косметика,3,19.0,0,0,0,3,0,0,,,,19.0,,
KingGas,Газы и газовые смеси,1,2.01,1,0,0,0,0,0,2.01,,,,,
LABÁ,Косметика,1,18.01,0,0,0,1,0,0,,,,18.01,,
LANBENA,Косметика,3,12.0,0,0,0,3,0,0,,,,12.0,,
LEAMO,Косметика,2,12.52,0,0,0,2,0,0,,,,12.52,,
LEETOO,Косметика,1,10.0,0,0,0,1,0,0,,,,10.0,,
LUXORALAB,Косметика,1,21.0,0,0,0,1,0,0,,,,21.0,,
LYDIMOON,Косметика,3,14.01,0,0,0,3,0,0,,,,14.01,,
L`COSMETICS,Косметика,1,11.01,0,0,0,1,0,0,,,,11.01,,
La-oil,Косметика,1,9.02,0,0,0,1,0,0,,,,9.02,,
Likato professional,Косметика,9,10.04,0,0,0,9,0,0,,,,10.04,,
LiteSafe,Газы и газовые смеси,9,2.0,9,0,0,0,0,0,2.0,,,,,
Lux Macaunty,Косметика,2,16.96,0,0,0,2,0,0,,,,16.96,,
MATRIZA,Косметика,1,13.99,0,0,0,1,0,0,,,,13.99,,
MEN’S MASTER,Косметика,1,8.98,0,0,0,1,0,0,,,,8.98,,
MEREM,Сварочные материалы и оборудование,1,2.0,0,0,0,0,0,1,,,,,,2.0
MY BEAUTY SECRETS,Косметика,1,17.0,0,0,0,1,0,0,,,,17.0,,
MY.LVIN,Косметика,1,17.99,0,0,0,1,0,0,,,,17.99,,
Mama Mia Shop,Косметика,2,6.015,0,0,0,2,0,0,,,,6.015,,
Matrigen,Косметика,1,10.02,0,0,0,1,0,0,,,,10.02,,
Mirolla,Косметика,1,10.0,0,0,0,1,0,0,,,,10.0,,
Morgan's,Косметика,1,24.0,0,0,0,1,0,0,,,,24.0,,
NatureProduct,Косметика,1,18.0,0,0,0,1,0,0,,,,18.0,,
Norov.store,Косметика,2,21.509999999999998,0,0,0,2,0,0,,,,21.509999999999998,,
Novogas,Газы и газовые смеси,76,2.01,76,0,0,0,0,0,2.01,,,,,
ORising,Косметика,1,10.0,0,0,0,1,0,0,,,,10.0,,
Oleos,Косметика,3,17.03,0,0,0,3,0,0,,,,17.03,,
Ollin Professional,Косметика,1,16.01,0,0,0,1,0,0,,,,16.01,,
Organic Labs,Косметика,1,9.02,0,0,0,1,0,0,,,,9.02,,
OsmMak,Косметика,2,13.96,0,0,0,2,0,0,,,,13.96,,
PLANETA ORGANICA,Косметика,1,25.0,0,0,0,1,0,0,,,,25.0,,
Pharmaceris,Косметика,1,20.98,0,0,0,1,0,0,,,,20.98,,
Pure Line,Косметика,1,8.9,0,0,0,1,0,0,,,,8.9,,
RASTIKULA,Косметика,5,7.0,0,0,0,5,0,0,,,,7.0,,
RENEWAL,Косметика,1,12.02,0,0,0,1,0,0,,,,12.02,,
RSV,Газы и газовые смеси,1,2.0,1,0,0,0,0,0,2.0,,,,,
RSV COMPOSITE,Газы и газовые смеси,7,2.01,7,0,0,0,0,0,2.01,,,,,
RUW,Косметика,1,18.98,0,0,0,1,0,0,,,,18.98,,
Ragasco,Газы и газовые смеси,5,2.0,5,0,0,0,0,0,2.0,,,,,
Reforma_wm,Косметика,1,21.0,0,0,0,1,0,0,,,,21.0,,
SADOER,Косметика,3,11.97,0,0,0,3,0,0,,,,11.97,,
SADOER OFFICIAL,Косметика,2,8.425,0,0,0,2,0,0,,,,8.425,,
SHARY,Косметика,1,7.0,0,0,0,1,0,0,,,,7.0,,
SOLNAT,Косметика,1,21.98,0,0,0,1,0,0,,,,21.98,,
SOUTH MOON,Косметика,1,10.0,0,0,0,1,0,0,,,,10.0,,
SUPERNOVA,Косметика,1,24.96,0,0,0,1,0,0,,,,24.96,,
SUPREME,Газы и газовые смеси,14,2.0,14,0,0,0,0,0,2.0,,,,,
SYNERGETIC,Косметика,1,23.94,0,0,0,1,0,0,,,,23.94,,
Serum Edge,Косметика,1,5.01,0,0,0,1,0,0,,,,5.01,,
SferaGaz,Газы и газовые смеси,1,2.01,1,0,0,0,0,0,2.01,,,,,
Sim Sensitive,Косметика,5,17.0,0,0,0,5,0,0,,,,17.0,,
Simalands,Газы и газовые смеси,1,2.06,1,0,0,0,0,0,2.06,,,,,
Skand,Газы и газовые смеси,5,2.01,5,0,0,0,0,0,2.01,,,,,
Somelove,Косметика,1,13.0,0,0,0,1,0,0,,,,13.0,,
Spark&Glow,Косметика,1,5.97,0,0,0,1,0,0,,,,5.97,,
Supreme Composites,Газы и газовые смеси,2,2.0,2,0,0,0,0,0,2.0,,,,,
TEFIA,Косметика,2,13.515,0,0,0,2,0,0,,,,13.515,,
TRILLON,Газы и газовые смеси,16,2.0,16,0,0,0,0,0,2.0,,,,,
Tashe,Косметика,3,8.03,0,0,0,3,0,0,,,,8.03,,
The Act,Косметика,1,19.0,0,0,0,1,0,0,,,,19.0,,
The Mag cosmetics,Косметика,1,11.02,0,0,0,1,0,0,,,,11.02,,
The Power of Beauty,Косметика,1,6.93,0,0,0,1,0,0,,,,6.93,,
Trixosil,Косметика,1,22.0,0,0,0,1,0,0,,,,22.0,,
Ut rom,Косметика,1,23.0,0,0,0,1,0,0,,,,23.0,,
VOIS,Косметика,1,23.96,0,0,0,1,0,0,,,,23.96,,
VeganNova,Косметика,2,17.01,0,0,0,2,0,0,,,,17.01,,
VitaDin,Косметика,1,11.0,0,0,0,1,0,0,,,,11.0,,
WELEDA,Косметика,2,10.5,0,0,0,2,0,0,,,,10.5,,
Whamisa,Косметика,1,14.99,0,0,0,1,0,0,,,,14.99,,
Yanagiya,Косметика,3,9.01,0,0,0,3,0,0,,,,9.01,,
