Компания,Категория,Название товара,Цена,Скидочная Цена,Объем,Единицы Измерения
АЛТАЙСТРОЙДЕТАЛЬ,Технические газы,"КИСЛОРОД газообразный технический ГОСТ 5583-78, 1сорт",850.0,,40.0,литр
АЛТАЙСТРОЙДЕТАЛЬ,Медицинские газы,Кислород газообразный медицинский ФСП ЛП-001553,1200.0,,10.0,литр
АЛТАЙСТРОЙДЕТАЛЬ,Особо чистые газы,"Кислород особой чистоты 99,99%",3200.0,,40.0,литр
АЛТАЙСТРОЙДЕТАЛЬ,Газовые смеси пищевые,Азот / Двуокись углерода,2200.0,,20.0,литр
АЛТАЙСТРОЙДЕТАЛЬ,Технические газы,Кислород жидкий технический ГОСТ 6331-78,4500.0,,50.0,литр
АЛТАЙСТРОЙДЕТАЛЬ,Медицинские газы,Кислород жидкий медицинский ФСП ЛП-001553,5200.0,,30.0,литр
АЛТАЙСТРОЙДЕТАЛЬ,Технические газы,"Двуокись углерода ГОСТ 8050-85, высший сорт",980.0,,25.0,литр
АЛТАЙСТРОЙДЕТАЛЬ,Медицинские газы,Жидкий азот,1500.0,,35.0,литр
АЛТАЙСТРОЙДЕТАЛЬ,Особо чистые газы,"Азот газообразный особой чистоты (99,999%)",2800.0,,40.0,литр
АЛТАЙСТРОЙДЕТАЛЬ,Технические газы,Азот газообразный технический ГОСТ 9293-74,950.0,,40.0,литр
АЛТАЙСТРОЙДЕТАЛЬ,Особо чистые газы,"Аргон газообразный особо чистый (99,999%)",3500.0,,40.0,литр
АЛТАЙСТРОЙДЕТАЛЬ,Технические газы,Азот жидкий технический ГОСТ 9293-74,1800.0,,50.0,литр
АЛТАЙСТРОЙДЕТАЛЬ,Технические газы,Пропан-бутановая смесь,650.0,,27.0,литр
АЛТАЙСТРОЙДЕТАЛЬ,Технические газы,"Аргон газообразный ГОСТ 10157-2016, высший сорт (>99,993%)",1400.0,,40.0,литр
АЛТАЙСТРОЙДЕТАЛЬ,Технические газы,Аргон жидкий ГОСТ 10157-2016,4800.0,,50.0,литр
АЛТАЙСТРОЙДЕТАЛЬ,Технические газы,Ацетилен марки Б,2100.0,,40.0,литр
АЛТАЙСТРОЙДЕТАЛЬ,Технические газы,"Гелий марки А (99,995%) ТУ 0271-135-31323949-2005",19000.0,,40.0,литр
АЛТАЙСТРОЙДЕТАЛЬ,Технические газы,"Гелий марки Б (99,99%) ТУ 0271-135-31323949-2005",12500.0,,40.0,литр
АЛТАЙСТРОЙДЕТАЛЬ,Технические газы,Газовые смеси сварочные,1350.0,,40.0,литр
АЛТАЙСТРОЙДЕТАЛЬ,Технические газы,Сухой лед,3600.0,,20.0,кг
КЕСТО,Конструкционное склеивание,Kesto Masa Pro,2850.0,2650.0,0.6,литр
КЕСТО,Ламинация плит полимерными пленками,AKVAPUR SM 3000,12365.0,11500.0,15.0,кг
КЕСТО,Деревообрабатывающая промышленность,Kestopur 1C 10H,89000.0,82000.0,1000.0,кг
КЕСТО,Ламинация картона полимерными пленками,Sitol 2189-R,1850.0,1720.0,15.0,кг
КЕСТО,Ламинация картона полимерными пленками,Sitol 5012/43,2100.0,1950.0,15.0,кг
КЕСТО,Вклейка окошек,Sitol 2085-R,1750.0,1620.0,15.0,кг
КЕСТО,Ламинация картона полимерными пленками,Sitol 1100 R,1950.0,1800.0,15.0,кг
КЕСТО,Ламинация картона полимерными пленками,Sitol 2390-R,2200.0,2050.0,15.0,кг
КЕСТО,Ламинация картона полимерными пленками,Sitol 2185-R,1900.0,1750.0,15.0,кг
КЕСТО,Ламинация картона полимерными пленками,Sitol 7000-R,2400.0,2250.0,15.0,кг
КЕСТО,Каширование,Kestomer VPH-R,1650.0,1520.0,15.0,кг
КЕСТО,Каширование,Kestomer VPV/S-R,1800.0,1680.0,50.0,кг
КЕСТО,Каширование,Sitol 4173-R,1550.0,1420.0,15.0,кг
КЕСТО,Каширование,Sitol 4181,1700.0,1580.0,15.0,кг
КЕСТО,Каширование,Sitol 4173/HV-R,1850.0,1720.0,15.0,кг
КЕСТО,Каширование,Sitol-4170-R,1600.0,1480.0,15.0,кг
